City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Alangudi,IN,75.22,overcast clouds,10.3606,78.9849,Nutrition Centre
466,Zemio,CF,81.01,overcast clouds,5.0314,25.1361,OCHA Office
467,Ondjiva,AO,75.04,overcast clouds,-17.0667,15.7333,COMBUESA
474,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
487,San Policarpo,PH,77.38,clear sky,12.1791,125.5072,Agapita M. Nicart
489,Faanui,PF,81.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
493,Quatre Cocos,MU,78.1,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
494,Codajas,BR,81.7,light rain,-3.8367,-62.0569,Atlântic Hotel
499,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
500,Sinnamary,GF,78.33,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
505,Daru,PG,76.57,moderate rain,-9.0763,143.2092,Daru Lodge
516,Makakilo City,US,75.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
517,Cururupu,BR,84.99,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
521,La Playa,PR,87.01,few clouds,18.2875,-67.1869,Rincon Beach Resort
534,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
540,Saint-Pierre,RE,77.29,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
544,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
546,Manokwari,ID,77.29,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
547,Guasdualito,VE,89.56,few clouds,7.2424,-70.7324,Hotel Cuibas
551,Jaciara,BR,82.81,broken clouds,-15.9653,-54.9683,Taba Hotel
554,Srandakan,ID,78.24,overcast clouds,-7.9386,110.2506,Puri Brata
555,Sangmelima,CM,79.2,overcast clouds,2.9333,11.9833,gamestar hotel
557,Kinkala,CG,84.51,scattered clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
559,Salto,UY,87.96,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
563,Jacareacanga,BR,84.51,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
565,La Orilla,MX,81.68,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
581,Nieuw Nickerie,SR,80.37,broken clouds,5.95,-56.9833,Ishwardat Inn
582,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
584,Dondo,MZ,81.91,scattered clouds,-19.6094,34.7431,Arco Iris
592,Cambe,BR,81.28,broken clouds,-23.2758,-51.2783,Hotel Solarium Express
594,Lorengau,PG,81.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
603,Maxixe,MZ,78.62,few clouds,-23.8597,35.3472,Oceano
606,Sola,VU,80.2,overcast clouds,-13.8833,167.55,Leumerus Bungalows
614,Ko Samui,TH,80.89,scattered clouds,9.5357,99.9357,The Passage Samui
616,Moerai,PF,77.65,scattered clouds,-22.4333,-151.3333,Le Manotel
617,Kindu,CD,76.12,overcast clouds,-2.95,25.95,Résidence Okanda
621,Salinopolis,BR,80.73,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
624,Meulaboh,ID,76.73,overcast clouds,4.1363,96.1285,Kost Pria
634,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
635,Ilhabela,BR,75.87,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
640,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
644,Ugoofaaru,MV,81.45,few clouds,5.6667,73.0,Ungoofaaru Inn
652,Pochutla,MX,88.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
658,Barra Dos Coqueiros,BR,82.42,broken clouds,-10.9089,-37.0386,Jangadeiro
661,Guanica,PR,86.2,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
664,Piacabucu,BR,83.1,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
667,Celestun,MX,82.33,overcast clouds,20.8667,-90.4,Posada Lilia
668,Bima,ID,76.03,broken clouds,-8.4667,118.7167,Lambitu Hotel
669,Mwanza,TZ,77.05,few clouds,-2.5167,32.9,Gold Crest Hotel
674,Paka,MY,80.53,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
676,Porto Novo,BJ,85.82,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
678,Anloga,GH,86.22,clear sky,5.7947,0.8973,Pin Drop Hotel
686,Maryborough,AU,77.11,light rain,-25.5333,152.7,Blue Shades Motel
689,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
694,Labuhan,ID,77.29,overcast clouds,-6.8844,112.2051,DoubleFAG
700,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
701,Tamandare,BR,83.05,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
702,Miramar,US,84.97,broken clouds,25.9873,-80.2323,Casa Miramar
